inst#,actual,predicted,error,distribution,
132,1:normal.,1:normal.,,*1,0
133,1:normal.,1:normal.,,*0.991,0.009
134,1:normal.,1:normal.,,*0.991,0.009
135,1:normal.,1:normal.,,*0.99,0.01
136,1:normal.,1:normal.,,*0.991,0.009
137,1:normal.,1:normal.,,*0.944,0.056
138,1:normal.,1:normal.,,*1,0
139,1:normal.,1:normal.,,*0.998,0.002
140,1:normal.,1:normal.,,*1,0
141,1:normal.,1:normal.,,*1,0
142,1:normal.,1:normal.,,*0.992,0.008
143,1:normal.,1:normal.,,*1,0
144,1:normal.,1:normal.,,*1,0
145,1:normal.,1:normal.,,*0.997,0.003
146,1:normal.,1:normal.,,*1,0
147,1:normal.,1:normal.,,*0.991,0.009
148,1:normal.,1:normal.,,*1,0
149,1:normal.,1:normal.,,*1,0
150,1:normal.,1:normal.,,*1,0
151,1:normal.,1:normal.,,*0.99,0.01
152,1:normal.,1:normal.,,*1,0
153,1:normal.,1:normal.,,*0.991,0.009
154,1:normal.,1:normal.,,*0.989,0.011
155,1:normal.,1:normal.,,*0.99,0.01
156,1:normal.,1:normal.,,*1,0
157,1:normal.,1:normal.,,*0.99,0.01
158,1:normal.,1:normal.,,*0.991,0.009
159,1:normal.,1:normal.,,*0.573,0.427
160,1:normal.,1:normal.,,*0.991,0.009
161,1:normal.,1:normal.,,*1,0
162,1:normal.,1:normal.,,*1,0
163,1:normal.,1:normal.,,*0.993,0.007
164,1:normal.,1:normal.,,*0.991,0.009
165,1:normal.,1:normal.,,*1,0
166,1:normal.,1:normal.,,*0.991,0.009
167,1:normal.,1:normal.,,*1,0
168,1:normal.,1:normal.,,*1,0
169,1:normal.,1:normal.,,*1,0
170,1:normal.,1:normal.,,*1,0
171,1:normal.,1:normal.,,*0.995,0.005
172,1:normal.,1:normal.,,*0.991,0.009
173,1:normal.,1:normal.,,*1,0
174,1:normal.,1:normal.,,*0.99,0.01
175,1:normal.,1:normal.,,*0.994,0.006
176,1:normal.,1:normal.,,*0.991,0.009
177,1:normal.,1:normal.,,*0.999,0.001
178,1:normal.,1:normal.,,*1,0
179,1:normal.,1:normal.,,*1,0
180,1:normal.,1:normal.,,*0.995,0.005
181,1:normal.,1:normal.,,*0.991,0.009
182,1:normal.,1:normal.,,*0.996,0.004
183,1:normal.,1:normal.,,*0.992,0.008
184,1:normal.,1:normal.,,*0.99,0.01
185,1:normal.,1:normal.,,*0.992,0.008
186,1:normal.,1:normal.,,*0.992,0.008
187,1:normal.,1:normal.,,*0.992,0.008
188,1:normal.,1:normal.,,*0.992,0.008
189,1:normal.,1:normal.,,*0.99,0.01
190,1:normal.,1:normal.,,*1,0
191,1:normal.,1:normal.,,*0.99,0.01
192,1:normal.,1:normal.,,*0.999,0.001
193,1:normal.,1:normal.,,*0.991,0.009
194,1:normal.,1:normal.,,*0.999,0.001
195,1:normal.,1:normal.,,*0.99,0.01
196,1:normal.,1:normal.,,*0.992,0.008
197,1:normal.,1:normal.,,*1,0
198,1:normal.,1:normal.,,*0.991,0.009
199,1:normal.,1:normal.,,*1,0
200,1:normal.,1:normal.,,*0.991,0.009
201,1:normal.,1:normal.,,*1,0
202,1:normal.,1:normal.,,*0.99,0.01
203,1:normal.,1:normal.,,*1,0
204,1:normal.,1:normal.,,*0.992,0.008
205,1:normal.,1:normal.,,*1,0
206,1:normal.,1:normal.,,*1,0
207,1:normal.,1:normal.,,*1,0
208,1:normal.,1:normal.,,*0.99,0.01
209,1:normal.,1:normal.,,*0.99,0.01
210,1:normal.,1:normal.,,*0.999,0.001
211,1:normal.,1:normal.,,*0.99,0.01
212,1:normal.,1:normal.,,*1,0
213,1:normal.,1:normal.,,*0.993,0.007
214,1:normal.,1:normal.,,*0.991,0.009
215,1:normal.,1:normal.,,*0.991,0.009
216,1:normal.,1:normal.,,*0.998,0.002
217,1:normal.,1:normal.,,*0.99,0.01
218,1:normal.,1:normal.,,*0.996,0.004
219,1:normal.,1:normal.,,*1,0
220,1:normal.,1:normal.,,*0.992,0.008
221,1:normal.,1:normal.,,*0.998,0.002
222,1:normal.,1:normal.,,*0.994,0.006
223,1:normal.,1:normal.,,*0.99,0.01
224,1:normal.,1:normal.,,*1,0
225,1:normal.,1:normal.,,*0.995,0.005
226,1:normal.,1:normal.,,*0.993,0.007
227,1:normal.,1:normal.,,*0.992,0.008
228,1:normal.,1:normal.,,*0.993,0.007
229,1:normal.,1:normal.,,*0.991,0.009
230,1:normal.,1:normal.,,*1,0
231,1:normal.,1:normal.,,*1,0
232,1:normal.,1:normal.,,*1,0
233,1:normal.,1:normal.,,*0.991,0.009
234,1:normal.,1:normal.,,*1,0
235,1:normal.,1:normal.,,*0.991,0.009
236,1:normal.,1:normal.,,*0.992,0.008
237,1:normal.,1:normal.,,*1,0
238,1:normal.,1:normal.,,*1,0
239,1:normal.,1:normal.,,*0.991,0.009
240,1:normal.,1:normal.,,*0.993,0.007
241,1:normal.,1:normal.,,*0.991,0.009
242,1:normal.,1:normal.,,*1,0
243,1:normal.,1:normal.,,*0.991,0.009
244,1:normal.,1:normal.,,*0.995,0.005
245,1:normal.,1:normal.,,*1,0
246,1:normal.,1:normal.,,*0.99,0.01
247,1:normal.,1:normal.,,*0.99,0.01
248,1:normal.,1:normal.,,*0.99,0.01
249,1:normal.,1:normal.,,*0.99,0.01
250,1:normal.,1:normal.,,*1,0
251,1:normal.,1:normal.,,*0.999,0.001
252,1:normal.,1:normal.,,*0.992,0.008
253,1:normal.,1:normal.,,*1,0
254,1:normal.,1:normal.,,*0.991,0.009
255,1:normal.,1:normal.,,*0.99,0.01
256,1:normal.,1:normal.,,*0.999,0.001
257,1:normal.,1:normal.,,*0.991,0.009
258,1:normal.,1:normal.,,*1,0
259,1:normal.,1:normal.,,*1,0
260,1:normal.,1:normal.,,*1,0
261,1:normal.,1:normal.,,*0.993,0.007
262,1:normal.,1:normal.,,*1,0
263,1:normal.,1:normal.,,*1,0
264,1:normal.,1:normal.,,*1,0
265,1:normal.,1:normal.,,*0.99,0.01
266,1:normal.,1:normal.,,*0.995,0.005
267,1:normal.,1:normal.,,*1,0
268,1:normal.,1:normal.,,*0.99,0.01
269,1:normal.,1:normal.,,*1,0
270,1:normal.,1:normal.,,*0.991,0.009
271,1:normal.,1:normal.,,*1,0
272,1:normal.,1:normal.,,*1,0
273,1:normal.,1:normal.,,*1,0
274,1:normal.,1:normal.,,*1,0
275,1:normal.,1:normal.,,*0.99,0.01
276,1:normal.,1:normal.,,*0.998,0.002
277,1:normal.,1:normal.,,*0.991,0.009
278,1:normal.,1:normal.,,*0.991,0.009
279,1:normal.,1:normal.,,*0.999,0.001
280,1:normal.,1:normal.,,*0.991,0.009
281,1:normal.,1:normal.,,*0.991,0.009
282,1:normal.,1:normal.,,*0.991,0.009
283,1:normal.,1:normal.,,*0.99,0.01
284,1:normal.,1:normal.,,*1,0
285,1:normal.,1:normal.,,*0.993,0.007
286,1:normal.,1:normal.,,*1,0
287,1:normal.,1:normal.,,*1,0
288,1:normal.,1:normal.,,*1,0
289,1:normal.,1:normal.,,*1,0
290,1:normal.,1:normal.,,*1,0
291,1:normal.,1:normal.,,*0.99,0.01
292,1:normal.,1:normal.,,*0.989,0.011
293,1:normal.,1:normal.,,*0.99,0.01
294,1:normal.,1:normal.,,*0.991,0.009
295,1:normal.,1:normal.,,*1,0
296,1:normal.,1:normal.,,*0.991,0.009
297,1:normal.,1:normal.,,*0.99,0.01
298,1:normal.,1:normal.,,*1,0
299,1:normal.,1:normal.,,*1,0
300,1:normal.,1:normal.,,*0.573,0.427
301,1:normal.,1:normal.,,*0.994,0.006
302,1:normal.,1:normal.,,*1,0
303,1:normal.,1:normal.,,*1,0
304,1:normal.,1:normal.,,*1,0
305,1:normal.,1:normal.,,*0.991,0.009
306,1:normal.,1:normal.,,*1,0
307,1:normal.,1:normal.,,*0.991,0.009
308,1:normal.,1:normal.,,*0.99,0.01
309,1:normal.,1:normal.,,*0.994,0.006
310,1:normal.,1:normal.,,*0.991,0.009
311,1:normal.,1:normal.,,*0.992,0.008
312,1:normal.,1:normal.,,*1,0
313,1:normal.,1:normal.,,*1,0
314,1:normal.,1:normal.,,*0.993,0.007
315,1:normal.,1:normal.,,*0.999,0.001
316,1:normal.,1:normal.,,*1,0
317,1:normal.,1:normal.,,*1,0
318,1:normal.,1:normal.,,*0.997,0.003
319,1:normal.,1:normal.,,*0.99,0.01
320,1:normal.,1:normal.,,*1,0
321,1:normal.,1:normal.,,*1,0
322,1:normal.,1:normal.,,*0.991,0.009
323,1:normal.,1:normal.,,*0.942,0.058
324,1:normal.,1:normal.,,*0.99,0.01
325,1:normal.,1:normal.,,*1,0
326,1:normal.,1:normal.,,*1,0
327,1:normal.,1:normal.,,*0.991,0.009
328,1:normal.,1:normal.,,*0.992,0.008
329,1:normal.,1:normal.,,*1,0
330,1:normal.,1:normal.,,*0.99,0.01
331,1:normal.,1:normal.,,*0.992,0.008
332,1:normal.,1:normal.,,*1,0
333,1:normal.,1:normal.,,*0.991,0.009
334,1:normal.,1:normal.,,*0.991,0.009
335,1:normal.,1:normal.,,*0.997,0.003
336,1:normal.,1:normal.,,*0.992,0.008
337,1:normal.,1:normal.,,*0.991,0.009
338,1:normal.,1:normal.,,*0.992,0.008
339,1:normal.,1:normal.,,*1,0
340,1:normal.,1:normal.,,*1,0
341,1:normal.,1:normal.,,*0.99,0.01
342,1:normal.,1:normal.,,*0.665,0.335
343,1:normal.,1:normal.,,*1,0
344,1:normal.,1:normal.,,*0.991,0.009
345,1:normal.,1:normal.,,*1,0
346,1:normal.,1:normal.,,*0.99,0.01
347,1:normal.,1:normal.,,*1,0
348,1:normal.,1:normal.,,*0.991,0.009
349,1:normal.,1:normal.,,*1,0
350,1:normal.,1:normal.,,*1,0
351,1:normal.,1:normal.,,*1,0
352,1:normal.,1:normal.,,*0.99,0.01
353,1:normal.,1:normal.,,*0.99,0.01
354,1:normal.,1:normal.,,*0.99,0.01
355,1:normal.,1:normal.,,*0.99,0.01
356,1:normal.,1:normal.,,*1,0
357,1:normal.,1:normal.,,*1,0
358,1:normal.,1:normal.,,*1,0
359,1:normal.,1:normal.,,*0.99,0.01
360,1:normal.,1:normal.,,*1,0
361,1:normal.,1:normal.,,*1,0
362,1:normal.,1:normal.,,*0.991,0.009
363,1:normal.,1:normal.,,*0.99,0.01
364,1:normal.,1:normal.,,*1,0
365,1:normal.,1:normal.,,*0.991,0.009
366,1:normal.,1:normal.,,*0.665,0.335
367,1:normal.,1:normal.,,*0.999,0.001
368,1:normal.,1:normal.,,*1,0
369,1:normal.,1:normal.,,*0.99,0.01
370,1:normal.,1:normal.,,*0.99,0.01
371,1:normal.,1:normal.,,*0.991,0.009
372,1:normal.,1:normal.,,*1,0
373,1:normal.,1:normal.,,*0.992,0.008
374,1:normal.,1:normal.,,*1,0
375,1:normal.,1:normal.,,*1,0
376,1:normal.,1:normal.,,*1,0
377,1:normal.,1:normal.,,*0.991,0.009
378,1:normal.,1:normal.,,*1,0
379,1:normal.,1:normal.,,*0.992,0.008
380,1:normal.,1:normal.,,*0.996,0.004
381,1:normal.,1:normal.,,*0.99,0.01
382,1:normal.,1:normal.,,*1,0
383,1:normal.,1:normal.,,*0.994,0.006
384,1:normal.,1:normal.,,*1,0
385,1:normal.,1:normal.,,*1,0
386,1:normal.,1:normal.,,*0.991,0.009
387,1:normal.,1:normal.,,*0.99,0.01
388,1:normal.,1:normal.,,*0.991,0.009
389,1:normal.,1:normal.,,*1,0
390,1:normal.,1:normal.,,*0.99,0.01
391,1:normal.,1:normal.,,*0.991,0.009
392,1:normal.,1:normal.,,*0.99,0.01
393,1:normal.,1:normal.,,*0.991,0.009
394,1:normal.,1:normal.,,*0.99,0.01
395,1:normal.,1:normal.,,*0.991,0.009
396,1:normal.,1:normal.,,*0.991,0.009
397,1:normal.,1:normal.,,*0.991,0.009
398,1:normal.,1:normal.,,*0.992,0.008
399,1:normal.,1:normal.,,*0.99,0.01
400,1:normal.,1:normal.,,*0.991,0.009
401,1:normal.,1:normal.,,*0.99,0.01
402,1:normal.,1:normal.,,*0.99,0.01
403,1:normal.,1:normal.,,*0.99,0.01
404,1:normal.,1:normal.,,*0.99,0.01
405,1:normal.,1:normal.,,*1,0
406,1:normal.,1:normal.,,*0.99,0.01
407,1:normal.,1:normal.,,*0.991,0.009
408,1:normal.,1:normal.,,*0.991,0.009
409,1:normal.,1:normal.,,*0.991,0.009
410,1:normal.,1:normal.,,*0.99,0.01
411,1:normal.,1:normal.,,*0.991,0.009
412,1:normal.,1:normal.,,*1,0
413,1:normal.,1:normal.,,*0.99,0.01
414,1:normal.,1:normal.,,*0.999,0.001
415,1:normal.,1:normal.,,*1,0
416,1:normal.,1:normal.,,*0.992,0.008
417,1:normal.,1:normal.,,*0.991,0.009
418,1:normal.,1:normal.,,*0.992,0.008
419,1:normal.,1:normal.,,*0.99,0.01
420,1:normal.,1:normal.,,*1,0
421,1:normal.,1:normal.,,*0.997,0.003
422,1:normal.,1:normal.,,*0.991,0.009
423,1:normal.,1:normal.,,*1,0
424,1:normal.,1:normal.,,*0.995,0.005
425,1:normal.,1:normal.,,*1,0
426,1:normal.,1:normal.,,*0.993,0.007
427,1:normal.,1:normal.,,*0.668,0.332
428,1:normal.,1:normal.,,*1,0
429,1:normal.,1:normal.,,*0.99,0.01
430,1:normal.,1:normal.,,*0.991,0.009
431,1:normal.,1:normal.,,*0.993,0.007
432,1:normal.,1:normal.,,*1,0
433,1:normal.,1:normal.,,*1,0
434,1:normal.,1:normal.,,*0.99,0.01
435,1:normal.,1:normal.,,*1,0
436,1:normal.,1:normal.,,*0.99,0.01
437,1:normal.,1:normal.,,*1,0
438,1:normal.,1:normal.,,*1,0
439,1:normal.,1:normal.,,*1,0
440,1:normal.,1:normal.,,*0.989,0.011
441,1:normal.,1:normal.,,*1,0
442,1:normal.,1:normal.,,*0.991,0.009
443,1:normal.,1:normal.,,*0.991,0.009
444,1:normal.,1:normal.,,*1,0
445,1:normal.,1:normal.,,*1,0
446,1:normal.,1:normal.,,*1,0
447,1:normal.,1:normal.,,*0.991,0.009
448,1:normal.,1:normal.,,*0.997,0.003
449,1:normal.,1:normal.,,*1,0
450,1:normal.,1:normal.,,*0.991,0.009
451,1:normal.,1:normal.,,*1,0
452,1:normal.,1:normal.,,*0.994,0.006
453,1:normal.,1:normal.,,*1,0
454,1:normal.,1:normal.,,*0.99,0.01
455,1:normal.,1:normal.,,*0.994,0.006
456,1:normal.,1:normal.,,*0.99,0.01
457,1:normal.,1:normal.,,*0.99,0.01
458,1:normal.,1:normal.,,*1,0
459,1:normal.,1:normal.,,*1,0
460,1:normal.,1:normal.,,*0.991,0.009
461,1:normal.,1:normal.,,*0.999,0.001
462,1:normal.,1:normal.,,*1,0
463,1:normal.,1:normal.,,*0.99,0.01
464,1:normal.,1:normal.,,*1,0
465,1:normal.,1:normal.,,*0.99,0.01
466,1:normal.,1:normal.,,*1,0
467,1:normal.,1:normal.,,*1,0
468,1:normal.,1:normal.,,*0.992,0.008
469,1:normal.,1:normal.,,*1,0
470,1:normal.,1:normal.,,*0.993,0.007
471,1:normal.,1:normal.,,*0.99,0.01
472,1:normal.,1:normal.,,*0.992,0.008
473,1:normal.,1:normal.,,*0.996,0.004
474,1:normal.,1:normal.,,*0.998,0.002
475,1:normal.,1:normal.,,*0.991,0.009
476,1:normal.,1:normal.,,*0.994,0.006
477,1:normal.,1:normal.,,*0.996,0.004
478,1:normal.,1:normal.,,*0.994,0.006
479,1:normal.,1:normal.,,*1,0
480,1:normal.,1:normal.,,*1,0
481,1:normal.,1:normal.,,*0.99,0.01
482,1:normal.,1:normal.,,*0.991,0.009
483,1:normal.,1:normal.,,*1,0
484,1:normal.,1:normal.,,*1,0
485,1:normal.,1:normal.,,*1,0
486,1:normal.,1:normal.,,*1,0
487,1:normal.,1:normal.,,*0.995,0.005
488,1:normal.,1:normal.,,*1,0
489,1:normal.,1:normal.,,*0.993,0.007
490,1:normal.,1:normal.,,*0.991,0.009
491,1:normal.,1:normal.,,*1,0
492,1:normal.,1:normal.,,*0.99,0.01
493,1:normal.,1:normal.,,*1,0
494,1:normal.,1:normal.,,*1,0
495,1:normal.,1:normal.,,*0.991,0.009
496,1:normal.,1:normal.,,*0.991,0.009
497,1:normal.,1:normal.,,*1,0
498,1:normal.,1:normal.,,*0.99,0.01
499,1:normal.,1:normal.,,*1,0
500,1:normal.,1:normal.,,*1,0
501,1:normal.,1:normal.,,*0.991,0.009
502,1:normal.,1:normal.,,*0.991,0.009
503,1:normal.,1:normal.,,*1,0
504,1:normal.,1:normal.,,*1,0
505,1:normal.,1:normal.,,*1,0
506,1:normal.,1:normal.,,*1,0
507,1:normal.,1:normal.,,*1,0
508,1:normal.,1:normal.,,*0.99,0.01
509,1:normal.,1:normal.,,*0.993,0.007
510,1:normal.,1:normal.,,*0.991,0.009
511,1:normal.,1:normal.,,*1,0
512,1:normal.,1:normal.,,*1,0
513,1:normal.,1:normal.,,*0.995,0.005
514,1:normal.,1:normal.,,*0.993,0.007
515,1:normal.,1:normal.,,*0.999,0.001
516,1:normal.,1:normal.,,*0.993,0.007
517,1:normal.,1:normal.,,*0.994,0.006
518,1:normal.,1:normal.,,*1,0
519,1:normal.,1:normal.,,*0.99,0.01
520,1:normal.,1:normal.,,*1,0
521,1:normal.,1:normal.,,*0.99,0.01
522,1:normal.,1:normal.,,*1,0
523,1:normal.,1:normal.,,*0.99,0.01
524,1:normal.,1:normal.,,*0.992,0.008
525,1:normal.,1:normal.,,*0.996,0.004
526,1:normal.,1:normal.,,*0.99,0.01
527,1:normal.,1:normal.,,*1,0
528,1:normal.,1:normal.,,*0.992,0.008
529,1:normal.,1:normal.,,*0.997,0.003
530,1:normal.,1:normal.,,*0.99,0.01
531,1:normal.,1:normal.,,*0.994,0.006
532,1:normal.,1:normal.,,*1,0
533,1:normal.,1:normal.,,*1,0
534,1:normal.,1:normal.,,*0.99,0.01
535,1:normal.,1:normal.,,*1,0
536,1:normal.,1:normal.,,*1,0
537,1:normal.,1:normal.,,*0.99,0.01
538,1:normal.,1:normal.,,*0.997,0.003
539,1:normal.,1:normal.,,*0.99,0.01
540,1:normal.,1:normal.,,*0.991,0.009
541,1:normal.,1:normal.,,*0.998,0.002
542,1:normal.,1:normal.,,*0.99,0.01
543,1:normal.,1:normal.,,*1,0
544,1:normal.,1:normal.,,*0.99,0.01
545,1:normal.,1:normal.,,*1,0
546,1:normal.,1:normal.,,*0.99,0.01
547,1:normal.,1:normal.,,*1,0
548,1:normal.,1:normal.,,*1,0
549,1:normal.,1:normal.,,*1,0
550,1:normal.,1:normal.,,*0.989,0.011
551,1:normal.,1:normal.,,*0.99,0.01
552,1:normal.,1:normal.,,*0.991,0.009
553,1:normal.,1:normal.,,*1,0
554,1:normal.,1:normal.,,*0.99,0.01
555,1:normal.,1:normal.,,*0.994,0.006
556,1:normal.,1:normal.,,*1,0
557,1:normal.,1:normal.,,*1,0
558,1:normal.,1:normal.,,*1,0
559,1:normal.,1:normal.,,*0.992,0.008
560,1:normal.,1:normal.,,*0.99,0.01
561,1:normal.,1:normal.,,*0.991,0.009
562,1:normal.,1:normal.,,*0.99,0.01
563,1:normal.,1:normal.,,*1,0
564,1:normal.,1:normal.,,*0.99,0.01
565,1:normal.,1:normal.,,*0.991,0.009
566,1:normal.,1:normal.,,*1,0
567,1:normal.,1:normal.,,*0.991,0.009
568,1:normal.,1:normal.,,*1,0
569,1:normal.,1:normal.,,*1,0
570,1:normal.,1:normal.,,*1,0
571,1:normal.,1:normal.,,*0.991,0.009
572,1:normal.,1:normal.,,*1,0
573,1:normal.,1:normal.,,*0.991,0.009
574,1:normal.,1:normal.,,*0.993,0.007
575,1:normal.,1:normal.,,*0.99,0.01
576,1:normal.,1:normal.,,*0.991,0.009
577,1:normal.,1:normal.,,*0.991,0.009
578,1:normal.,1:normal.,,*1,0
579,1:normal.,1:normal.,,*0.992,0.008
580,1:normal.,1:normal.,,*0.99,0.01
581,1:normal.,1:normal.,,*0.99,0.01
582,1:normal.,1:normal.,,*0.996,0.004
583,1:normal.,1:normal.,,*1,0
584,1:normal.,1:normal.,,*0.99,0.01
585,1:normal.,1:normal.,,*1,0
586,1:normal.,1:normal.,,*1,0
587,1:normal.,1:normal.,,*0.551,0.449
588,1:normal.,1:normal.,,*0.992,0.008
589,1:normal.,1:normal.,,*1,0
590,1:normal.,1:normal.,,*0.989,0.011
591,1:normal.,1:normal.,,*0.998,0.002
592,1:normal.,1:normal.,,*0.991,0.009
593,1:normal.,1:normal.,,*0.999,0.001
594,1:normal.,1:normal.,,*0.992,0.008
595,1:normal.,1:normal.,,*1,0
596,1:normal.,1:normal.,,*0.993,0.007
597,1:normal.,1:normal.,,*1,0
598,1:normal.,1:normal.,,*0.992,0.008
599,1:normal.,1:normal.,,*1,0
600,1:normal.,1:normal.,,*1,0
601,1:normal.,1:normal.,,*0.992,0.008
602,1:normal.,1:normal.,,*0.992,0.008
603,1:normal.,1:normal.,,*0.999,0.001
604,1:normal.,1:normal.,,*1,0
605,1:normal.,1:normal.,,*1,0
606,1:normal.,1:normal.,,*1,0
607,1:normal.,1:normal.,,*0.992,0.008
608,1:normal.,1:normal.,,*1,0
609,1:normal.,1:normal.,,*0.99,0.01
610,1:normal.,1:normal.,,*0.992,0.008
611,1:normal.,1:normal.,,*0.992,0.008
612,1:normal.,1:normal.,,*0.99,0.01
613,1:normal.,1:normal.,,*0.99,0.01
614,1:normal.,1:normal.,,*0.991,0.009
615,1:normal.,1:normal.,,*0.992,0.008
616,1:normal.,1:normal.,,*0.991,0.009
617,1:normal.,1:normal.,,*0.991,0.009
618,1:normal.,1:normal.,,*1,0
619,1:normal.,1:normal.,,*0.991,0.009
620,1:normal.,1:normal.,,*0.991,0.009
621,1:normal.,1:normal.,,*0.999,0.001
