inst#,actual,predicted,error,prediction
69,2:attack,2:attack,,1
70,2:attack,2:attack,,1
71,2:attack,2:attack,,1
72,2:attack,2:attack,,1
73,2:attack,2:attack,,1
74,2:attack,2:attack,,1
75,2:attack,2:attack,,1
76,2:attack,2:attack,,1
77,2:attack,2:attack,,1
78,2:attack,2:attack,,1
79,2:attack,2:attack,,1
80,2:attack,2:attack,,1
81,2:attack,2:attack,,1
82,2:attack,2:attack,,1
83,2:attack,2:attack,,1
84,2:attack,2:attack,,1
85,2:attack,2:attack,,1
86,2:attack,2:attack,,1
87,2:attack,2:attack,,1
88,2:attack,2:attack,,1
89,2:attack,2:attack,,1
90,2:attack,2:attack,,1
91,2:attack,2:attack,,1
92,2:attack,2:attack,,1
93,2:attack,2:attack,,1
94,2:attack,2:attack,,1
95,2:attack,2:attack,,1
96,2:attack,2:attack,,1
97,2:attack,2:attack,,1
98,2:attack,2:attack,,1
99,2:attack,2:attack,,1
100,2:attack,2:attack,,1
101,2:attack,2:attack,,1
102,2:attack,2:attack,,1
103,2:attack,2:attack,,1
104,2:attack,2:attack,,1
105,2:attack,2:attack,,1
106,2:attack,2:attack,,1
107,2:attack,2:attack,,1
108,2:attack,2:attack,,1
109,2:attack,2:attack,,1
110,2:attack,2:attack,,1
111,2:attack,2:attack,,0.999
112,2:attack,2:attack,,1
113,2:attack,2:attack,,1
114,2:attack,2:attack,,1
115,2:attack,2:attack,,1
116,2:attack,2:attack,,1
117,2:attack,2:attack,,1
118,2:attack,2:attack,,1
119,2:attack,2:attack,,1
120,2:attack,2:attack,,1
121,2:attack,2:attack,,1
122,2:attack,2:attack,,1
123,2:attack,2:attack,,1
124,2:attack,2:attack,,1
125,2:attack,2:attack,,1
126,2:attack,2:attack,,1
127,2:attack,2:attack,,1
128,2:attack,2:attack,,1
129,2:attack,2:attack,,1
130,2:attack,2:attack,,1
131,2:attack,2:attack,,1
132,2:attack,2:attack,,1
133,2:attack,2:attack,,1
134,2:attack,2:attack,,1
135,2:attack,2:attack,,1
136,2:attack,2:attack,,1
137,2:attack,2:attack,,1
138,2:attack,2:attack,,1
139,2:attack,2:attack,,1
140,2:attack,2:attack,,1
141,2:attack,2:attack,,1
142,2:attack,2:attack,,1
143,2:attack,2:attack,,1
144,2:attack,2:attack,,1
145,2:attack,2:attack,,1
146,2:attack,2:attack,,1
147,2:attack,2:attack,,1
148,2:attack,2:attack,,1
149,2:attack,2:attack,,1
150,2:attack,2:attack,,1
151,2:attack,2:attack,,1
152,2:attack,2:attack,,0.999
153,2:attack,2:attack,,1
154,2:attack,2:attack,,1
155,2:attack,2:attack,,1
156,2:attack,2:attack,,1
157,2:attack,2:attack,,1
158,2:attack,2:attack,,1
159,2:attack,2:attack,,1
160,2:attack,2:attack,,1
161,2:attack,2:attack,,1
162,2:attack,2:attack,,1
163,2:attack,2:attack,,1
164,2:attack,2:attack,,1
165,2:attack,2:attack,,1
166,2:attack,2:attack,,1
167,2:attack,2:attack,,1
168,2:attack,2:attack,,1
169,2:attack,2:attack,,1
170,2:attack,2:attack,,1
171,2:attack,2:attack,,1
172,2:attack,2:attack,,1
173,2:attack,2:attack,,1
174,2:attack,2:attack,,1
175,2:attack,2:attack,,1
176,2:attack,2:attack,,1
177,2:attack,2:attack,,1
178,2:attack,2:attack,,1
179,2:attack,2:attack,,1
180,2:attack,2:attack,,1
181,2:attack,2:attack,,1
182,2:attack,2:attack,,1
183,2:attack,2:attack,,0.997
184,2:attack,2:attack,,1
185,2:attack,2:attack,,1
186,2:attack,2:attack,,1
187,2:attack,2:attack,,1
188,2:attack,2:attack,,1
189,2:attack,2:attack,,1
190,2:attack,2:attack,,1
191,2:attack,2:attack,,1
192,2:attack,2:attack,,1
193,2:attack,2:attack,,1
194,2:attack,2:attack,,1
195,2:attack,2:attack,,1
196,2:attack,2:attack,,1
197,2:attack,2:attack,,1
198,2:attack,2:attack,,1
199,2:attack,2:attack,,1
200,2:attack,1:normal.,+,0.894
201,2:attack,2:attack,,1
202,2:attack,2:attack,,1
203,2:attack,2:attack,,1
204,2:attack,2:attack,,1
205,2:attack,2:attack,,1
206,2:attack,2:attack,,1
207,2:attack,2:attack,,1
208,2:attack,2:attack,,1
209,2:attack,2:attack,,1
210,2:attack,2:attack,,1
211,2:attack,2:attack,,1
212,2:attack,2:attack,,1
213,2:attack,2:attack,,1
214,2:attack,2:attack,,1
215,2:attack,2:attack,,1
216,2:attack,2:attack,,1
217,2:attack,2:attack,,1
218,2:attack,2:attack,,1
219,2:attack,2:attack,,1
220,2:attack,2:attack,,1
221,2:attack,2:attack,,1
222,2:attack,2:attack,,1
223,2:attack,2:attack,,1
224,2:attack,2:attack,,1
225,2:attack,2:attack,,1
226,2:attack,2:attack,,1
227,2:attack,2:attack,,1
228,2:attack,2:attack,,1
229,2:attack,2:attack,,1
230,2:attack,2:attack,,1
231,2:attack,2:attack,,1
232,2:attack,2:attack,,1
233,2:attack,2:attack,,1
234,2:attack,2:attack,,1
235,2:attack,2:attack,,1
236,2:attack,2:attack,,1
237,2:attack,2:attack,,1
238,2:attack,2:attack,,1
239,2:attack,2:attack,,1
240,2:attack,2:attack,,1
241,2:attack,2:attack,,1
242,2:attack,2:attack,,1
243,2:attack,2:attack,,1
244,2:attack,2:attack,,1
245,2:attack,2:attack,,1
246,2:attack,2:attack,,1
247,2:attack,2:attack,,1
248,2:attack,2:attack,,1
249,2:attack,2:attack,,1
250,2:attack,2:attack,,1
251,2:attack,2:attack,,1
252,2:attack,2:attack,,1
253,2:attack,1:normal.,+,0.901
254,2:attack,2:attack,,1
255,2:attack,2:attack,,1
256,2:attack,2:attack,,1
257,2:attack,2:attack,,1
258,2:attack,2:attack,,0.997
259,2:attack,2:attack,,1
260,2:attack,2:attack,,1
261,2:attack,2:attack,,1
262,2:attack,2:attack,,1
263,2:attack,2:attack,,1
264,2:attack,2:attack,,1
265,2:attack,2:attack,,1
266,2:attack,2:attack,,1
267,2:attack,2:attack,,1
268,2:attack,2:attack,,0.997
269,2:attack,2:attack,,1
270,2:attack,2:attack,,1
271,2:attack,2:attack,,1
272,2:attack,2:attack,,1
273,2:attack,2:attack,,1
274,2:attack,2:attack,,1
275,2:attack,2:attack,,1
276,2:attack,2:attack,,1
277,2:attack,2:attack,,1
278,2:attack,2:attack,,1
279,2:attack,2:attack,,1
280,2:attack,2:attack,,1
281,2:attack,2:attack,,1
282,2:attack,2:attack,,1
283,2:attack,2:attack,,1
284,2:attack,2:attack,,1
285,2:attack,2:attack,,1
286,2:attack,2:attack,,1
287,2:attack,2:attack,,1
288,2:attack,2:attack,,1
289,2:attack,2:attack,,1
290,2:attack,2:attack,,1
291,2:attack,2:attack,,1
292,2:attack,2:attack,,1
293,2:attack,2:attack,,1
294,2:attack,2:attack,,1
295,2:attack,2:attack,,1
296,2:attack,2:attack,,1
297,2:attack,2:attack,,0.932
298,2:attack,2:attack,,1
299,2:attack,2:attack,,1
300,2:attack,2:attack,,1
301,2:attack,2:attack,,1
302,2:attack,1:normal.,+,0.901
303,2:attack,2:attack,,1
304,2:attack,2:attack,,1
305,2:attack,2:attack,,1
306,2:attack,2:attack,,1
307,2:attack,2:attack,,1
308,2:attack,2:attack,,1
309,2:attack,2:attack,,1
310,2:attack,2:attack,,1
311,2:attack,2:attack,,1
312,2:attack,2:attack,,1
313,2:attack,2:attack,,1
314,2:attack,2:attack,,1
315,2:attack,2:attack,,1
316,2:attack,2:attack,,1
317,2:attack,2:attack,,1
318,2:attack,2:attack,,1
319,2:attack,2:attack,,1
320,2:attack,2:attack,,1
321,2:attack,2:attack,,1
322,2:attack,2:attack,,1
323,2:attack,2:attack,,1
324,2:attack,2:attack,,1
325,2:attack,2:attack,,1
326,2:attack,2:attack,,1
327,2:attack,2:attack,,1
328,2:attack,2:attack,,1
329,2:attack,2:attack,,1
330,2:attack,2:attack,,1
331,2:attack,2:attack,,1
332,2:attack,2:attack,,1
333,2:attack,2:attack,,1
334,2:attack,2:attack,,1
335,2:attack,2:attack,,1
336,2:attack,2:attack,,1
337,2:attack,2:attack,,1
338,2:attack,2:attack,,1
339,2:attack,2:attack,,1
340,2:attack,2:attack,,1
341,2:attack,2:attack,,1
342,2:attack,2:attack,,1
343,2:attack,2:attack,,1
344,2:attack,2:attack,,1
345,2:attack,2:attack,,1
346,2:attack,2:attack,,1
347,2:attack,2:attack,,1
348,2:attack,2:attack,,1
349,2:attack,1:normal.,+,0.903
350,2:attack,2:attack,,1
351,2:attack,2:attack,,1
352,2:attack,2:attack,,1
353,2:attack,2:attack,,1
354,2:attack,2:attack,,1
355,2:attack,2:attack,,1
356,2:attack,2:attack,,1
357,2:attack,2:attack,,1
358,2:attack,2:attack,,1
359,2:attack,2:attack,,1
360,2:attack,2:attack,,1
361,2:attack,2:attack,,1
362,2:attack,2:attack,,1
363,2:attack,2:attack,,1
364,2:attack,2:attack,,1
365,2:attack,2:attack,,1
366,2:attack,2:attack,,0.999
367,2:attack,2:attack,,1
368,2:attack,2:attack,,1
369,2:attack,2:attack,,1
370,2:attack,2:attack,,1
371,2:attack,2:attack,,1
372,2:attack,2:attack,,1
373,2:attack,2:attack,,1
374,2:attack,2:attack,,1
375,2:attack,2:attack,,1
376,2:attack,2:attack,,1
377,2:attack,2:attack,,1
378,2:attack,2:attack,,1
379,2:attack,2:attack,,1
380,2:attack,2:attack,,1
381,2:attack,2:attack,,1
382,2:attack,2:attack,,1
383,2:attack,2:attack,,1
384,2:attack,2:attack,,1
385,2:attack,2:attack,,1
386,2:attack,2:attack,,1
387,2:attack,2:attack,,1
388,2:attack,2:attack,,1
389,2:attack,2:attack,,1
390,2:attack,2:attack,,1
391,2:attack,2:attack,,1
392,2:attack,2:attack,,1
393,2:attack,2:attack,,1
394,2:attack,2:attack,,1
395,2:attack,2:attack,,1
396,2:attack,2:attack,,1
397,2:attack,2:attack,,1
398,2:attack,2:attack,,0.994
399,2:attack,2:attack,,1
400,2:attack,2:attack,,1
401,2:attack,2:attack,,1
402,2:attack,2:attack,,1
403,2:attack,2:attack,,1
404,2:attack,2:attack,,1
405,2:attack,2:attack,,1
406,2:attack,2:attack,,1
407,2:attack,2:attack,,1
408,2:attack,2:attack,,1
409,2:attack,2:attack,,1
410,2:attack,2:attack,,1
411,2:attack,2:attack,,1
412,2:attack,2:attack,,1
413,2:attack,2:attack,,1
414,2:attack,2:attack,,1
415,2:attack,2:attack,,1
416,2:attack,2:attack,,1
417,2:attack,2:attack,,1
418,2:attack,2:attack,,1
419,2:attack,2:attack,,1
420,2:attack,2:attack,,1
421,2:attack,2:attack,,1
422,2:attack,2:attack,,1
423,2:attack,2:attack,,1
424,2:attack,2:attack,,1
425,2:attack,2:attack,,1
426,2:attack,2:attack,,1
427,2:attack,2:attack,,1
428,2:attack,2:attack,,1
429,2:attack,2:attack,,1
430,2:attack,2:attack,,1
431,2:attack,2:attack,,1
432,2:attack,2:attack,,1
433,2:attack,2:attack,,1
434,2:attack,2:attack,,1
435,2:attack,2:attack,,1
436,2:attack,2:attack,,1
437,2:attack,2:attack,,0.997
438,2:attack,2:attack,,1
439,2:attack,2:attack,,1
440,2:attack,2:attack,,1
441,2:attack,2:attack,,1
442,2:attack,2:attack,,1
443,2:attack,2:attack,,1
444,2:attack,2:attack,,1
445,2:attack,2:attack,,1
446,2:attack,2:attack,,0.999
447,2:attack,2:attack,,1
448,2:attack,2:attack,,1
449,2:attack,2:attack,,1
450,2:attack,2:attack,,1
451,2:attack,2:attack,,1
452,2:attack,2:attack,,1
453,2:attack,2:attack,,1
454,2:attack,2:attack,,1
455,2:attack,2:attack,,1
456,2:attack,2:attack,,1
457,2:attack,2:attack,,1
458,2:attack,2:attack,,1
459,2:attack,2:attack,,1
460,2:attack,2:attack,,1
461,2:attack,2:attack,,1
462,2:attack,2:attack,,1
463,2:attack,2:attack,,1
464,2:attack,2:attack,,1
465,2:attack,2:attack,,1
466,2:attack,2:attack,,1
467,2:attack,2:attack,,1
468,2:attack,2:attack,,1
469,2:attack,2:attack,,1
470,2:attack,2:attack,,1
471,2:attack,2:attack,,1
472,2:attack,2:attack,,1
473,2:attack,2:attack,,1
474,2:attack,2:attack,,1
475,2:attack,2:attack,,1
476,2:attack,2:attack,,1
477,2:attack,2:attack,,0.872
478,2:attack,2:attack,,1
479,2:attack,2:attack,,1
480,2:attack,2:attack,,1
481,2:attack,2:attack,,1
482,2:attack,2:attack,,1
483,2:attack,2:attack,,1
484,2:attack,2:attack,,1
485,2:attack,2:attack,,1
486,2:attack,2:attack,,1
487,2:attack,2:attack,,1
488,2:attack,2:attack,,1
489,2:attack,2:attack,,1
490,2:attack,2:attack,,1
491,2:attack,2:attack,,1
492,2:attack,2:attack,,1
493,2:attack,2:attack,,1
494,2:attack,2:attack,,1
495,2:attack,2:attack,,1
496,2:attack,2:attack,,1
497,2:attack,2:attack,,1
498,2:attack,2:attack,,1
499,2:attack,2:attack,,1
500,2:attack,2:attack,,1
501,2:attack,2:attack,,1
502,2:attack,2:attack,,1
503,2:attack,2:attack,,0.999
504,2:attack,2:attack,,1
505,2:attack,2:attack,,1
506,2:attack,2:attack,,1
507,2:attack,2:attack,,1
508,2:attack,2:attack,,1
509,2:attack,2:attack,,1
510,2:attack,2:attack,,1
511,2:attack,2:attack,,1
512,2:attack,2:attack,,1
513,2:attack,2:attack,,1
514,2:attack,2:attack,,1
515,2:attack,2:attack,,1
516,2:attack,2:attack,,1
517,2:attack,2:attack,,1
518,2:attack,2:attack,,1
519,2:attack,2:attack,,1
520,2:attack,2:attack,,1
521,2:attack,2:attack,,1
522,2:attack,2:attack,,1
523,2:attack,2:attack,,1
524,2:attack,2:attack,,1
525,2:attack,2:attack,,1
526,2:attack,2:attack,,1
527,2:attack,2:attack,,1
528,2:attack,2:attack,,0.999
529,2:attack,2:attack,,1
530,2:attack,2:attack,,1
531,2:attack,2:attack,,1
532,2:attack,2:attack,,1
533,2:attack,2:attack,,1
534,2:attack,2:attack,,1
535,2:attack,2:attack,,1
536,2:attack,2:attack,,1
537,2:attack,2:attack,,1
538,2:attack,2:attack,,1
539,2:attack,2:attack,,1
540,2:attack,2:attack,,1
541,2:attack,2:attack,,1
542,2:attack,2:attack,,1
543,2:attack,2:attack,,1
544,2:attack,2:attack,,1
545,2:attack,2:attack,,1
546,2:attack,2:attack,,1
547,2:attack,2:attack,,1
548,2:attack,2:attack,,1
549,2:attack,2:attack,,1
550,2:attack,2:attack,,1
551,2:attack,2:attack,,1
552,2:attack,2:attack,,1
553,2:attack,2:attack,,1
554,2:attack,2:attack,,1
555,2:attack,2:attack,,1
556,2:attack,2:attack,,1
557,2:attack,2:attack,,1
558,2:attack,2:attack,,1
559,2:attack,2:attack,,1
560,2:attack,2:attack,,1
561,2:attack,2:attack,,1
562,2:attack,2:attack,,1
563,2:attack,2:attack,,1
564,2:attack,2:attack,,1
565,2:attack,2:attack,,1
566,2:attack,2:attack,,1
567,2:attack,2:attack,,1
568,2:attack,2:attack,,1
569,2:attack,2:attack,,1
570,2:attack,2:attack,,1
571,2:attack,2:attack,,1
572,2:attack,2:attack,,1
573,2:attack,2:attack,,1
574,2:attack,2:attack,,1
575,2:attack,2:attack,,1
576,2:attack,2:attack,,1
577,2:attack,2:attack,,1
578,2:attack,2:attack,,1
579,2:attack,2:attack,,1
580,2:attack,2:attack,,1
581,2:attack,2:attack,,1
582,2:attack,2:attack,,1
583,2:attack,2:attack,,1
584,2:attack,2:attack,,1
585,2:attack,2:attack,,1
586,2:attack,2:attack,,1
587,2:attack,2:attack,,1
588,2:attack,2:attack,,1
589,2:attack,2:attack,,1
590,2:attack,2:attack,,1
591,2:attack,2:attack,,1
592,2:attack,2:attack,,1
593,2:attack,2:attack,,1
594,2:attack,2:attack,,1
595,2:attack,2:attack,,1
596,2:attack,2:attack,,1
597,2:attack,2:attack,,1
598,2:attack,2:attack,,1
599,2:attack,2:attack,,1
600,2:attack,2:attack,,1
601,2:attack,2:attack,,1
602,2:attack,2:attack,,1
603,2:attack,2:attack,,1
604,2:attack,2:attack,,1
605,2:attack,2:attack,,1
606,2:attack,2:attack,,1
607,2:attack,2:attack,,1
608,2:attack,2:attack,,1
609,2:attack,2:attack,,1
610,2:attack,2:attack,,1
611,2:attack,2:attack,,1
612,2:attack,2:attack,,1
613,2:attack,2:attack,,1
614,2:attack,2:attack,,1
615,2:attack,2:attack,,1
616,2:attack,2:attack,,1
617,2:attack,2:attack,,1
618,2:attack,2:attack,,1
619,2:attack,2:attack,,1
620,2:attack,2:attack,,1
621,2:attack,2:attack,,1
622,2:attack,2:attack,,1
623,2:attack,2:attack,,1
624,2:attack,2:attack,,1
625,2:attack,2:attack,,1
626,2:attack,2:attack,,1
627,2:attack,2:attack,,1
628,2:attack,2:attack,,1
629,2:attack,2:attack,,0.999
630,2:attack,2:attack,,1
631,2:attack,2:attack,,1
632,2:attack,2:attack,,1
633,2:attack,2:attack,,1
634,2:attack,2:attack,,1
635,2:attack,2:attack,,1
636,2:attack,2:attack,,1
637,2:attack,2:attack,,1
638,2:attack,2:attack,,1
639,2:attack,2:attack,,1
640,2:attack,2:attack,,1
641,2:attack,2:attack,,1
642,2:attack,2:attack,,1
643,2:attack,2:attack,,1
644,2:attack,2:attack,,1
645,2:attack,2:attack,,1
646,2:attack,2:attack,,1
647,2:attack,2:attack,,1
648,2:attack,2:attack,,1
649,2:attack,2:attack,,1
650,2:attack,2:attack,,1
651,2:attack,2:attack,,0.862
652,2:attack,2:attack,,1
653,2:attack,2:attack,,1
654,2:attack,2:attack,,1
655,2:attack,2:attack,,1
656,2:attack,2:attack,,1
657,2:attack,2:attack,,1
658,2:attack,2:attack,,1
659,2:attack,2:attack,,1
660,2:attack,2:attack,,1
661,2:attack,2:attack,,1
662,2:attack,2:attack,,1
663,2:attack,2:attack,,1
664,2:attack,2:attack,,1
665,2:attack,2:attack,,1
666,2:attack,2:attack,,1
667,2:attack,2:attack,,0.999
668,2:attack,2:attack,,1
669,2:attack,2:attack,,1
670,2:attack,2:attack,,1
671,2:attack,2:attack,,0.843
672,2:attack,2:attack,,1
673,2:attack,2:attack,,1
674,2:attack,2:attack,,1
675,2:attack,2:attack,,1
676,2:attack,2:attack,,1
677,2:attack,2:attack,,1
678,2:attack,2:attack,,1
679,2:attack,2:attack,,1
680,2:attack,2:attack,,1
681,2:attack,2:attack,,1
682,2:attack,2:attack,,1
683,2:attack,2:attack,,1
684,2:attack,2:attack,,1
685,2:attack,2:attack,,1
686,2:attack,2:attack,,1
687,2:attack,2:attack,,1
688,2:attack,2:attack,,1
689,2:attack,2:attack,,1
690,2:attack,2:attack,,0.997
691,2:attack,2:attack,,1
692,2:attack,2:attack,,1
693,2:attack,2:attack,,1
694,2:attack,2:attack,,1
695,2:attack,2:attack,,1
696,2:attack,2:attack,,1
697,2:attack,2:attack,,1
698,2:attack,2:attack,,1
699,2:attack,2:attack,,1
700,2:attack,2:attack,,1
701,2:attack,2:attack,,1
702,2:attack,2:attack,,1
703,2:attack,2:attack,,1
704,2:attack,2:attack,,1
705,2:attack,2:attack,,1
706,2:attack,2:attack,,1
707,2:attack,2:attack,,1
708,2:attack,2:attack,,1
709,2:attack,2:attack,,1
710,2:attack,2:attack,,1
711,2:attack,2:attack,,1
712,2:attack,2:attack,,1
713,2:attack,2:attack,,1
714,2:attack,2:attack,,1
715,2:attack,2:attack,,1
716,2:attack,2:attack,,1
717,2:attack,2:attack,,1
718,2:attack,2:attack,,1
719,2:attack,2:attack,,1
720,2:attack,2:attack,,1
721,2:attack,2:attack,,1
722,2:attack,2:attack,,1
723,2:attack,2:attack,,1
724,2:attack,2:attack,,1
725,2:attack,2:attack,,1
726,2:attack,2:attack,,1
727,2:attack,2:attack,,1
728,2:attack,2:attack,,1
729,2:attack,2:attack,,1
730,2:attack,2:attack,,1
731,2:attack,2:attack,,1
732,2:attack,2:attack,,1
733,2:attack,2:attack,,1
734,2:attack,2:attack,,1
735,2:attack,2:attack,,1
736,2:attack,2:attack,,1
737,2:attack,2:attack,,1
738,2:attack,2:attack,,1
739,2:attack,2:attack,,1
740,2:attack,2:attack,,1
741,2:attack,2:attack,,1
742,2:attack,2:attack,,1
743,2:attack,2:attack,,1
744,2:attack,2:attack,,1
745,2:attack,2:attack,,1
746,2:attack,2:attack,,1
747,2:attack,2:attack,,1
748,2:attack,2:attack,,1
749,2:attack,2:attack,,1
750,2:attack,2:attack,,1
751,2:attack,2:attack,,1
752,2:attack,2:attack,,1
753,2:attack,2:attack,,1
754,2:attack,2:attack,,1
755,2:attack,2:attack,,1
756,2:attack,2:attack,,1
757,2:attack,2:attack,,1
758,2:attack,2:attack,,1
759,2:attack,2:attack,,1
760,2:attack,2:attack,,1
761,2:attack,2:attack,,1
762,2:attack,2:attack,,1
763,2:attack,2:attack,,1
764,2:attack,2:attack,,1
765,2:attack,2:attack,,1
766,2:attack,2:attack,,1
767,2:attack,2:attack,,1
768,2:attack,2:attack,,1
769,2:attack,2:attack,,1
770,2:attack,2:attack,,1
771,2:attack,2:attack,,1
772,2:attack,2:attack,,1
773,2:attack,1:normal.,+,0.898
774,2:attack,2:attack,,1
775,2:attack,2:attack,,1
776,2:attack,2:attack,,1
777,2:attack,2:attack,,1
778,2:attack,2:attack,,1
779,2:attack,2:attack,,1
780,2:attack,2:attack,,1
781,2:attack,2:attack,,1
782,2:attack,2:attack,,1
783,2:attack,2:attack,,1
784,2:attack,2:attack,,1
785,2:attack,2:attack,,1
786,2:attack,2:attack,,1
787,2:attack,2:attack,,1
788,2:attack,2:attack,,1
789,2:attack,2:attack,,1
790,2:attack,2:attack,,1
791,2:attack,2:attack,,1
792,2:attack,2:attack,,1
793,2:attack,2:attack,,1
794,2:attack,2:attack,,1
795,2:attack,2:attack,,1
796,2:attack,2:attack,,1
797,2:attack,2:attack,,1
798,2:attack,2:attack,,1
799,2:attack,2:attack,,1
800,2:attack,2:attack,,1
801,2:attack,2:attack,,1
802,2:attack,2:attack,,1
803,2:attack,2:attack,,1
804,2:attack,2:attack,,1
805,2:attack,2:attack,,1
806,2:attack,2:attack,,1
807,2:attack,2:attack,,1
808,2:attack,2:attack,,1
809,2:attack,2:attack,,1
810,2:attack,2:attack,,1
811,2:attack,2:attack,,1
812,2:attack,2:attack,,1
813,2:attack,2:attack,,1
814,2:attack,2:attack,,1
815,2:attack,2:attack,,1
816,2:attack,2:attack,,1
817,2:attack,2:attack,,1
818,2:attack,2:attack,,1
819,2:attack,2:attack,,1
820,2:attack,2:attack,,1
821,2:attack,2:attack,,1
822,2:attack,2:attack,,1
823,2:attack,2:attack,,1
824,2:attack,2:attack,,1
825,2:attack,2:attack,,0.997
826,2:attack,2:attack,,1
827,2:attack,2:attack,,1
828,2:attack,2:attack,,1
829,2:attack,2:attack,,1
830,2:attack,2:attack,,1
831,2:attack,2:attack,,1
832,2:attack,2:attack,,1
833,2:attack,2:attack,,1
834,2:attack,2:attack,,1
835,2:attack,2:attack,,1
836,2:attack,2:attack,,1
837,2:attack,2:attack,,1
838,2:attack,2:attack,,1
839,2:attack,2:attack,,1
840,2:attack,2:attack,,1
841,2:attack,2:attack,,1
842,2:attack,2:attack,,1
843,2:attack,2:attack,,1
844,2:attack,2:attack,,1
845,2:attack,2:attack,,1
846,2:attack,2:attack,,1
847,2:attack,2:attack,,1
848,2:attack,2:attack,,1
849,2:attack,2:attack,,1
850,2:attack,2:attack,,1
851,2:attack,2:attack,,1
852,2:attack,2:attack,,1
853,2:attack,2:attack,,1
854,2:attack,2:attack,,1
855,2:attack,2:attack,,1
856,2:attack,2:attack,,1
857,2:attack,2:attack,,1
858,2:attack,2:attack,,1
859,2:attack,2:attack,,1
860,2:attack,2:attack,,1
861,2:attack,2:attack,,1
862,2:attack,2:attack,,1
863,2:attack,2:attack,,1
864,2:attack,2:attack,,1
865,2:attack,2:attack,,1
866,2:attack,2:attack,,1
867,2:attack,2:attack,,1
868,2:attack,2:attack,,1
869,2:attack,2:attack,,1
870,2:attack,2:attack,,1
871,2:attack,2:attack,,1
872,2:attack,2:attack,,1
873,2:attack,2:attack,,1
874,2:attack,2:attack,,1
875,2:attack,2:attack,,1
876,2:attack,2:attack,,1
877,2:attack,2:attack,,1
878,2:attack,2:attack,,1
879,2:attack,2:attack,,1
880,2:attack,2:attack,,1
881,2:attack,2:attack,,1
882,2:attack,2:attack,,1
883,2:attack,2:attack,,1
884,2:attack,2:attack,,1
885,2:attack,2:attack,,1
886,2:attack,2:attack,,1
887,2:attack,2:attack,,1
888,2:attack,2:attack,,1
889,2:attack,2:attack,,1
890,2:attack,2:attack,,1
891,2:attack,2:attack,,1
892,2:attack,2:attack,,1
893,2:attack,2:attack,,1
894,2:attack,2:attack,,1
895,2:attack,2:attack,,1
896,2:attack,2:attack,,1
897,2:attack,2:attack,,1
898,2:attack,2:attack,,1
899,2:attack,2:attack,,1
900,2:attack,2:attack,,1
901,2:attack,2:attack,,1
902,2:attack,2:attack,,1
903,2:attack,2:attack,,1
904,2:attack,2:attack,,1
905,2:attack,2:attack,,1
906,2:attack,2:attack,,1
907,2:attack,2:attack,,1
908,2:attack,2:attack,,1
909,2:attack,2:attack,,1
910,2:attack,2:attack,,1
911,2:attack,2:attack,,1
912,2:attack,2:attack,,1
913,2:attack,2:attack,,1
914,2:attack,2:attack,,0.999
915,2:attack,2:attack,,1
916,2:attack,2:attack,,1
917,2:attack,2:attack,,1
918,2:attack,2:attack,,1
919,2:attack,2:attack,,1
920,2:attack,2:attack,,1
921,2:attack,2:attack,,1
922,2:attack,2:attack,,1
923,2:attack,2:attack,,1
924,2:attack,2:attack,,1
925,2:attack,2:attack,,1
926,2:attack,2:attack,,1
927,2:attack,2:attack,,1
